"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OTU_32",4.60147890385964,-0.0249857570274561,0.752672227802344,-0.0331960661022523,0.973518235190846,0.980587264520361
"OTU_97",2.33223722191307,-0.221202695337753,0.745919210993272,-0.296550473667513,0.766809726960838,0.980587264520361
"OTU_528",1.12407913806142,0.0481600668514947,0.656393188013567,0.0733707596772001,0.941511085261675,NA
"OTU_198",26.2093765198794,-2.86322661542496,0.8600187178995,-3.32926081239031,0.00087076820999396,0.0091067920290147
"OTU_70",339.960775621443,-3.18174369671405,0.842822029287475,-3.77510742025088,0.00015993872620226,0.00224755999452649
"OTU_19",27.7563619014233,-0.52934896884752,0.915004787292449,-0.578520436394539,0.562912804013702,0.884279738708252
"OTU_45",229.10203164375,-2.31790263401558,0.797039644770513,-2.90813970073341,0.0036358587526478,0.0233921514929388
"OTU_287",30.8644567997203,-2.68609019779457,0.852900431637715,-3.14935964170731,0.00163628689023776,0.0128496646968671
"OTU_44",287.072333580999,-2.96338590232634,1.10682070524692,-2.67738567617891,0.00741991696106519,0.0421862437635953
"OTU_915",59.6747305189121,-4.90989023640847,0.882794054473624,-5.56176178523998,2.67064680065889e-08,1.30408590041583e-06
"OTU_245",16.3251366142453,-4.86702091826213,0.875246859661256,-5.56074079505501,2.6863192705195e-08,1.30408590041583e-06
"OTU_91",25.0047403548116,-2.61254696547541,0.789757628402798,-3.30803637915979,0.000939526041525805,0.0091067920290147
"OTU_230",4.76518302420334,-1.196845686061,0.820628133919066,-1.4584507118288,0.144716351328641,0.337460836722681
"OTU_48",16.9454394544799,0.588891225895421,0.897475144847109,0.656164384358235,0.511718361926469,0.823065076110646
"OTU_189",15.4700275305111,-4.29749833813447,0.874056325239394,-4.91672929311213,8.80021096632022e-07,2.6356910478e-05
"OTU_424",3.59954184511374,-0.42641886571075,0.854885504409093,-0.49880231155106,0.617918658962347,0.959210941528759
"OTU_17",136.011090137664,1.27176531032089,1.02802349109133,1.23709751901759,0.216050880740632,0.449812256068857
"OTU_656",1.49356882367918,0.403147807110302,0.656645525799044,0.613950436378483,0.539248079826151,NA
"OTU_573",1.68811411815646,-0.449083795136778,0.678485639139875,-0.661891378727024,0.508040837373151,0.819618752740974
"OTU_87",306.870064790352,-4.25202687820614,0.980950630472935,-4.33459824186682,1.46026564672122e-05,0.000278493519767546
"OTU_56",2.33353953295456,0.368677075335963,0.709180062066553,0.519863847076633,0.603158475001801,0.941773759213339
"OTU_183",134.907798461165,1.44774315657495,0.852256525891592,1.69871759569149,0.0893724064641462,0.23488600779697
"OTU_93",12.4494800087164,3.86294624028636,0.855835026757687,4.51365756192645,6.3719071019638e-06,0.000141774933018694
"OTU_448",18.4340243863603,-0.921106421661276,0.973474073415261,-0.946205396544089,0.344043834194683,0.635707292248999
"OTU_317",17.4929639197822,-2.23925025772375,0.931458648853613,-2.40402540733257,0.0162156462309973,0.0778102144664748
"OTU_78",8.28460971082762,-2.18204224011028,0.819956273754607,-2.66116902809784,0.00778698551354387,0.0437710554129729
