"OTU_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ConsensusLineage"
"OTU_131",73.8421366725355,-3.11390628537103,1.01687211897113,-3.06223981096235,0.00219687372212131,0.0154359285212208,"k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__unidentified; f__unidentified; g__unidentified; s__Wallemiomycetes sp"
"OTU_135",12.0874638610882,-3.80624367467263,0.774434991750004,-4.91486530854138,8.88435184651685e-07,2.6356910478e-05,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae sedis; g__Myrothecium; s__Myrothecium sp"
"OTU_136",1.77098077759496,-1.93932081088712,0.677174061966117,-2.86384390633106,0.00418534204171648,0.0258923620404177,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia sp 2 JAS_2013"
"OTU_141",7.82574477293894,-2.99964018558116,0.787882883341967,-3.80721582991823,0.000140540084951084,0.00202833528010483,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus insuetus"
"OTU_149",101.88808242323,-5.37844180044304,0.861456424156749,-6.24342874418496,4.2808137396277e-10,3.80992422826866e-08,"k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__unidentified; g__unidentified; s__Pezizales sp"
"OTU_156",138.117654779091,-3.04885979185314,0.7967498146198,-3.82662127547281,0.000129914158340063,0.00192706001537761,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus sclerotiorum"
"OTU_158",61.0195861048501,-4.20122893014547,0.714039904905274,-5.88374529390316,4.0108493062326e-09,2.79221729452451e-07,"k__Fungi; p__Zygomycota; c__Incertae sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella horticola"
"OTU_161",7.65615137805784,-3.46188621218102,0.826288937201997,-4.18967997309,2.79348148798161e-05,0.000497239704860726,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola; s__Humicola sp"
"OTU_165",38.946270263385,-3.48878818388061,0.951857562860023,-3.66524185971474,0.000247104946571925,0.00338343696075405,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium cf parviverrucosum CMV_2013"
"OTU_185",3.56623180265445,-2.68884821047764,0.754078393455326,-3.56574095454034,0.000362829627023511,0.00440343229160352,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes sp"
"OTU_189",15.4700275305111,-4.29749833813447,0.874056325239394,-4.91672929311213,8.80021096632022e-07,2.6356910478e-05,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__unidentified; g__unidentified; s__Xylariales sp"
"OTU_190",9.0486603617058,-2.39659128164063,0.895216111607888,-2.67710919247883,0.00742604290969655,0.0421862437635953,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Incertae sedis; g__Stagonosporopsis; s__Stagonosporopsis ajacis"
"OTU_194",36.8162212352852,-2.62541218370416,0.938691384582354,-2.79688535212483,0.00515978390243191,0.0309587034145915,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Hypocrea; s__Hypocrea atroviridis"
"OTU_198",26.2093765198794,-2.86322661542496,0.8600187178995,-3.32926081239031,0.00087076820999396,0.0091067920290147,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified; s__Sordariales sp"
"OTU_20",78.6816012861098,-4.94305748960771,1.07293840228846,-4.60702821249078,4.08464600193044e-06,9.91454984104934e-05,"k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Rozellomycota sp"
"OTU_200",128.96475159813,-4.30007301524118,0.829563834057269,-5.1835348151693,2.17719564460424e-07,8.30444624441904e-06,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium megasporum"
"OTU_203",3.86336703428919,-2.31195248549985,0.71332313023188,-3.24110124502524,0.00119068886824667,0.00993481024443318,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp"
"OTU_214",33.4877167940216,-4.14761045624797,0.950327814790743,-4.36439972785733,1.27472302739374e-05,0.000252111887640095,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp"
"OTU_217",4.97009817337912,-2.50205438959441,0.87203494863827,-2.86921343405044,0.00411494021261159,0.0258515067474658,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Pycnidiophora; s__Pycnidiophora aurantiaca"
"OTU_225",23.2939350526799,-4.21237918155139,0.884407256184611,-4.76294054814052,1.90792066077033e-06,4.85156968024455e-05,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales sp"
"OTU_245",16.3251366142453,-4.86702091826213,0.875246859661256,-5.56074079505501,2.6863192705195e-08,1.30408590041583e-06,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia flanaganii"
"OTU_251",95.1767221570679,-2.86201782783901,0.865889631920072,-3.30529171655816,0.000948775931301924,0.0091067920290147,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Purpureocillium; s__Purpureocillium lavendulum"
"OTU_256",2.46126432086306,-2.05621146496483,0.659019354743912,-3.12010785444056,0.00180784832505578,0.0135970564166167,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia sp"
"OTU_262",22.624887208203,-3.29241952041982,0.946816514469016,-3.4773575134209,0.000506382116547392,0.00575336277098526,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae sedis; g__unidentified; s__Hypocreales sp"
"OTU_276",27.0121334950704,-4.39133291831378,0.917228788218908,-4.78760912731594,1.68779965679226e-06,4.50642508363533e-05,"k__Fungi; p__Zygomycota; c__Incertae sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella sp"
"OTU_287",30.8644567997203,-2.68609019779457,0.852900431637715,-3.14935964170731,0.00163628689023776,0.0128496646968671,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus mangaliensis"
"OTU_289",25.8864371561463,-4.0573437125896,0.892933044892827,-4.54383868510161,5.52389372044437e-06,0.000128250402031187,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp"
"OTU_290",1.88751668444561,-1.65189583437308,0.623263971755983,-2.65039519245599,0.00803976675653696,0.0447212025832368,"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae sedis; g__Tremella; s__Tremella sp"
